syd,did,wei
"1","163","2"
"1","164","2"
"1","165","1"
"1","187","2"
"1","306","2"
"1","307","1"
"1","308","2"
"1","309","2"
"1","354","1"
"1","401","1"
"1","411","1"
"1","513","1"
"1","546","2"
"1","722","1"
"2","56","3"
"2","179","2"
"2","236","1"
"2","388","2"
"2","539","1"
"2","540","1"
"2","557","1"
"2","600","1"
"2","793","2"
"2","795","1"
"3","44","1"
"3","106","1"
"3","108","0"
"3","707","2"
"3","209","2"
"3","250","1"
"3","294",""
"3","432",""
"3","439","1"
"3","568","3"
"3","660","1"
"3","720","1"
"4","20","1"
"4","22","2"
"4","23","2"
"4","25","1"
"4","206","2"
"5","93","1"
"5","212","2"
"5","372","1"
"5","378","2"
"5","520","0"
"5","548","1"
"5","574","2"
"5","595","2"
"5","732","1"
"6","140","2"
"6","191","2"
"6","204","1"
"6","302","2"
"6","321","0"
"6","350","0"
"6","492","2"
"6","532","1"
"6","565","1"
"6","662","1"
"6","689","2"
"6","729","2"
"7","1","1"
"7","102","1"
"7","219","1"
"7","350","1"
"7","546","1"
"7","557","0"
"7","637","3"
"7","678","1"
"7","723","0"
"7","729","2"
"7","776","2"
"7","793","2"
"7","813","1"
"8","55","1"
"8","208","1"
"8","222","1"
"8","340","2"
"8","424","1"
"8","436","2"
"8","455","1"
"8","484","2"
"8","491","2"
"8","652","1"
"8","828","0"
"8","830","1"
"9","253","2"
"9","263","1"
"9","307","1"
"9","341","0"
"9","345","1"
"9","394","2"
"9","399","2"
"9","403","0"
"9","450","1"
"9","712","0"
"10","32",""
"10","125","3"
"10","178","1"
"10","179","2"
"10","197","2"
"10","231","3"
"10","393","2"
"10","394","2"
"10","399","2"
"10","450","0"
"10","670","3"
"10","675","0"
"10","697","3"
"10","788","1"
"10","830","1"
"11","108","1"
"11","109","2"
"11","111","1"
"11","140","1"
"11","191","2"
"11","289","1"
"11","453","1"
"12","9","1"
"12","78","1"
"12","183","1"
"12","140","2"
"12","191","2"
"12","204","2"
"12","220","0"
"12","302","1"
"12","321","0"
"12","566","0"
"12","729","2"
"13","195","2"
"13","221","2"
"13","224","2"
"13","265","1"
"13","309","2"
"13","354","1"
"13","471","0"
"13","492","2"
"13","561","2"
"13","585","3"
"13","586","3"
"13","608","0"
"13","617","2"
"13","698","1"
"13","789","2"
"14","140","2"
"14","252","2"
"14","387","2"
"14","443","0"
"14","447","1"
"14","462","1"
"14","474","2"
"14","536","2"
"14","557","1"
"14","567","1"
"14","572","2"
"14","585","3"
"14","674","2"
"14","704","2"
"14","790","2"
"14","793","2"
"14","800","2"
"15","23","2"
"15","39","0"
